spot; pays; region; departement; ville; hauteur; nb_lignes; meileures_saisons; cotations; approche; orientation; hauteur_min; hauteur_max; hauteur_moyenne; type; latitude; longitude
Falaise 3 rivieres; France ; Rhone Alpes ; Drome ; entrechaux; 10 - 40m; 300; Printemps, Été, Automne; 4b 9a; Facile | 5min; Nord, Nord-Ouest; 10m; 40m; 25m; Couenne; 44.236498; 5.147780
Falaise Ablon; Annecy;  ;  ;  ; 15 - 80m; 240; Été, Automne; 4a 8b; Modérée | 50min; Sud-Est; 15m; 80m; 26m; Couenne; 45.934018; 6.280872
Falaise Actinidias; France ; Rhone Alpes ; Ardèche ; Berrias et Casteljau; 20 - 35m; 58; Printemps, Été, Automne; 4a 8c; Facile | 5min; Est; 20m; 35m; 25m; Couenne; 44.402821; 4.199008
Falaise Ahuy; France ; Bourgogne ; Côte d'Or ; Ahuy; 8 - 15m; 20; Printemps, Automne; 4a 7b; Facile | 3min; Sud, Ouest; 8m; 15m; 13m; Couenne; 47.37006 ; 5.015443
Falaise Aiguille de buis; France ; Rhone Alpes ; Drome ; buis les baronnies; 15 - 60m; 60; Printemps, Automne, Hiver; 4b 7c; Modérée | 20min; Sud, Est; 15m; 60m; 30m; Couenne, Voie de plusieurs longueurs; 44.286226; 5.291418
Falaise Ailefroide – Secteur Champignon; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Ailefroide; 3 - 5m; 15; Été; 5c 7b; Facile | 8min; Toutes; 3m; 5m; 4m; Bloc; 44.886123; 6.450595
Falaise Ailefroide – secteur Dalle; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Ailefroide; 3 - 4m; 9; Été; 5b 8a; Facile | 5min; Nord, Est, Ouest; 3m; 4m; 3m; Bloc; 44.877281; 6.476849
Falaise Ailefroide – Secteur pavé; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Ailefroide; 3 - 5m; 26; Été; 5c 7c; Facile | 5min; Toutes; 3m; 5m; 4m; Bloc; 44.880853; 6.462719
Falaise Ailefroide – Secteur Philémon; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Ailefroide; 2 - 3m; 38; Été; 5a 7b; Facile | 2min; Toutes; 2m; 3m; 3m; Bloc; 44.881539; 6.460264
Falaise Ailefroide – Secteur Pont; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Ailefroide; 5 - 7m; 10; Été; 7a 8a; Facile | 2min; Sud, Sud-Est; 5m; 7m; 6m; Bloc; 44.882660; 6.455018
Falaise Ailefroide – Secteur Réception; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Ailefroide; 3 - 4m; 19; Été; 5c 8a; Facile | 2min; Sud, Sud-Est, Ouest; 3m; 4m; 4m; Bloc; 44.885134; 6.450794
Falaise Ailefroide – Secteur Rivière; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Ailefroide; 3 - 5m; 24; Été; 5a 7c; Facile | 2min; Toutes; 3m; 5m; 4m; Bloc; 44.884488; 6.452464
Falaise Alaise; France ; Franche Comté ; Doubs ; Nans sous st anne; 20 - 50m; 20; Printemps; 6b 8c; Modérée | 20min; Sud; 20m; 50m; 40m; Couenne, Voie de plusieurs longueurs; 47.008762; 5.986003
Falaise Anthon; France ; Rhone Alpes ; Haute Savoie ; Mieussy; 8 - 30m; 130; Printemps, Été, Automne; 4a 8b; Facile | 1min; Sud-Est, Sud-Ouest; 8m; 30m; 18m; Couenne; 46.136988; 6.502061
Falaise Appy; France ; Midi Pyrénées ; Ariège ; Appy; 15 - 30m; 26; Printemps, Automne; 4c 7b; Modérée | 15min; Sud-Ouest; 15m; 30m; 20m; Couenne; 42.796565; 1.734230
Falaise Arc de Cercle; France ; Franche Comté ; Doubs ; Ornans; 10 - 35m; 69; Printemps, Automne; 4a 7c; Modérée | 20min; Sud; 10m; 35m; 20m; Couenne; 47.124578; 6.131916
Falaise Arcambal – Casse noisette; France ; Midi Pyrénées ; Lot ; arcambal; 10 - 10m; 5; Printemps; 4a 6b; Facile | 2min; Sud; 10m; 10m; 10m; Couenne; 44.441573; 1.556764
Falaise Arcenant; France ; Bourgogne ; Côte d'Or ; arcenant; 15 - 25m; 100; Printemps, Automne; 4a 8a; Facile | 10min; Sud; 15m; 25m; 20m; Couenne; 47.149374; 4.823972
Falaise Arrayoulet; France ; Midi Pyrénées ; Hautes Pyrénées ; Arrens-Marsous; 10 - 40m; 25; Printemps, Automne; 4a 5c; Raide | 10min; Sud; 10m; 40m; 20m; Couenne; 42.946159; -0.2282192
Falaise Arudy; France ; Aquitaine ; Pyrénées Atlantiques ; Arudy; 5 - 60m; 200; Printemps, Été, Automne; 4a 8b; Facile | 30min; Toutes; 5m; 60m; 20m; Couenne; 43.100623; -0.4548260
Falaise Aulp du Seuil; France ; Rhone Alpes ; Isère ; Saint Bernard du Touvet; 20 - 35m; 24; Printemps, Automne; 4b 7c; Raide | 60min; Sud-Est; 20m; 35m; 25m; Couenne; 45.364870; 5.904293
Falaise Baderne; France ; Bourgogne ; Côte d'Or ; Vauchignon; 
						5.7/10Note générale
É; 100; Été, Automne, Hiver; 7a 9a; Facile | 2min; Nord, Nord-Est, Sud, Sud-Est, Sud-Ouest, Est; 50m; 30m; Couenne; in d'aventure; 46.983728; 4.643727
Falaise Balazuc – Les Barasses; France ; Rhone Alpes ; Ardèche ; Balazuc; 10 - 25m; 71; Printemps, Automne, Hiver; 4a 8a; Facile | 5min; Sud; 10m; 25m; 15m; Couenne; 44.511875; 4.368072
Falaise Balme Etrange; France ; Rhone Alpes ; Drome ; Choranche; 15 - 35m; 52; Printemps, Automne; 6a 8a; Modérée | 15min; Ouest; 15m; 35m; 25m; Couenne; 45.07136 ; 5.398776
Falaise Baou de l’Aigle; France ; Provence Alpes Cote d'Azur ; Bouches du Rhone ; Cadolive; 15 - 40m; 80; Printemps, Été, Automne, Hiver; 4c 7c; Facile | 15min; Nord-Ouest, Sud-Est, Est; 15m; 40m; 25m; Couenne; 43.388498; 5.508207
Falaise Barbicaghja; France ; Corse ;  ; Barbicaja; 10 - 35m; 28; Printemps, Automne; 5a 7b; Modérée | 20min; Sud, Est, Ouest; 10m; 35m; 30m; Couenne; 41.914032; 8.687382
Falaise Bauchet; France ; Provence Alpes Cote d'Azur ; Var ; Draguignan; 10 - 50m; 100; Printemps, Été; 4a 8b; Modérée | 15min; Nord, Nord-Est, Est; 10m; 50m; 25m; Couenne; 43.749173; 6.321945
Falaise Baume les Dames (Beaumerousse); France ; Franche Comté ; Doubs ; Baume-Les-Dames; 6 - 20m; 61; Printemps, Été, Automne; 4a 7c; Facile | 2min; Sud, Sud-Ouest; 6m; 20m; 18m; Couenne; 47.342840; 6.332107
Falaise Baume Les Dames (Quint); France ; Franche Comté ; Doubs ; Baume-les-dames; 25 - 35m; 179; Printemps, Automne; 4a 9a; Facile | 6min; Sud, Sud-Est, Sud-Ouest; 25m; 35m; 30m; Couenne; 47.341687; 6.338403
Falaise Baume les Dames (Sous-Buen); France ; Franche Comté ; Doubs ; Baumes les dames; 10 - 40m; 97; Printemps, Automne, Hiver; 4a 8a; Facile | 1min; Sud, Sud-Est, Est; 10m; 40m; 30m; Couenne; 47.348753; 6.371743
Falaise Baume plan Chatel; France ; Rhone Alpes ; Savoie ; Sollières-Sardières; 20 - 35m; 20; Été; 5a 8a; Modérée | 20min; Ouest; 20m; 35m; 25m; Couenne; 45.244776; 6.800132
Falaise Baume Rousse (Buis-les-Baronnies); France ; Rhone Alpes ; Drome ; Buis-les-Baronnies; 15 - 35m; 90; Printemps, Automne; 4a 8b; Facile | 5min; Sud, Sud-Est, Sud-Ouest, Est, Ouest; 15m; 35m; 25m; Couenne; 44.301587; 5.282772
Falaise Baychon; France ; Midi Pyrénées ; Ariège ; Tarascon-sur-Ariège; 10 - 60m; 100; Printemps, Automne; 5a 8a; Modérée | 15min; Sud, Sud-Est; 10m; 60m; 35m; Couenne; 42.805372; 1.597819
Falaise Beaume noir; France ; Rhone Alpes ; Drome ; beauvoisin; 10 - 75m; 90; Printemps, Été, Automne, Hiver; 4a 7b; Facile | 15min; Sud-Ouest, Ouest; 10m; 75m; 25m; Couenne, Voie de plusieurs longueurs; 44.302168; 5.234748
Falaise Beaumiral; France ; Rhone Alpes ; Ardèche ; Le Pouzin; 5 - 25m; 57; Printemps, Été, Automne; 4a 7b; Modérée | 10min; Sud-Est, Est; 5m; 25m; 15m; Couenne; 44.749241; 4.740541
Falaise Beauvoir; France ; Poitou Charentes ; Vienne ; Le petit beauvoir (Vienne); 10 - 20m; 100; Printemps, Automne, Hiver; 4a 8a; Facile | 10min; Sud; 10m; 20m; 18m; Couenne; 46.614325; 0.256658
Falaise Bellecombe-Tarendol; France ; Rhone Alpes ; Drome ; Bellecombe-Tarendol; 15 - 80m; 42; Printemps, Automne; 4c 8a; Facile | 5min; Sud-Ouest; 15m; 80m; 30m; Couenne, Voie de plusieurs longueurs; 44.355047; 5.361426
Falaise Blocs de Morsullaz; France ; Rhone Alpes ; Haute Savoie ; Mont-Saxonnex; 2 - 6m; 51; Printemps, Été, Automne; 4a 7b; Facile | 1min; Nord-Est, Sud, Sud-Est, Sud-Ouest; 2m; 6m; 4m; Bloc; 46.023558; 6.477574
Falaise Blocs du Salève; Collonges-sous-Salève;  ;  ;  ; 2 - 7m; 400; Printemps, Automne; 4a 8a; Facile | 2min; Nord, Sud, Est, Ouest; 2m; 7m; 4m; Bloc; 46.135564; 6.162973
Falaise Bodon; France ; Rhone Alpes ; Drome ; besignan; 20 - 30m; 12; Printemps, Été, Automne, Hiver; 6c 8a; Facile | 5min; Sud-Ouest; 20m; 30m; 25m; Couenne; 44.316110; 5.354332
Falaise Boislaville; France ; Rhone Alpes ; Ardèche ; Privas; 2 - 6m; 140; Printemps, Été, Automne; 4a 7b; Facile | 5min; Nord-Ouest, Sud-Ouest, Ouest; 2m; 6m; 3m; Bloc; 44.741770; 4.570590
Falaise Bonascre; France ; Midi Pyrénées ; Ariège ; Ax-les-Thermes; 8 - 25m; 23; Printemps, Automne; 5b 7c; Facile | 5min; Sud-Est; 8m; 25m; 15m; Couenne; 42.703766; 1.821627
Falaise Bourdary – La Grotte des Fées; France ; Rhone Alpes ; Ardèche ; Lavilledieu; 20 - 25m; 29; Printemps, Été, Automne; 4a 7b; Facile | 15min; Est; 20m; 25m; 25m; Couenne; 44.586371; 4.453711
Falaise Brochon; France ; Bourgogne ; Côte d'Or ; Brochon; 10 - 25m; 31; Printemps, Été, Automne; 4a 7a; Facile | 10min; Sud; 10m; 25m; 20m; Couenne; 47.241977; 4.953525
Falaise Buoux; France ; Provence Alpes Cote d'Azur ; Vaucluse ; buoux; 15 - 80m; 500; Printemps, Automne; 4c 8c; Facile | 10min; Sud, Sud-Est, Sud-Ouest, Est, Ouest; 15m; 80m; 30m; Couenne; 43.822562; 5.382716
Falaise Calamès; France ; Midi Pyrénées ; Ariège ; Bédeilhac-et-Aynat; 10 - 160m; 214; Printemps, Automne; 4a 8b; Modérée | 30min; Sud, Est; 10m; 160m; 85m; Voie de plusieurs longueurs; 42.869264; 1.561517
Falaise Camp Romain; France ; Rhone Alpes ; Isère ; Saint Martin le Vinoux; 8 - 25m; 8; Printemps, Automne; 5c 7b; Modérée | 20min; Sud-Est, Est; 8m; 25m; 9m; Couenne; 45.220198; 5.704994
Falaise Carrière de Brelivan; France ; Bretagne ; Côtes d'Armor ; Plouasne; 12 - 30m; 100; Printemps, Automne, Hiver; 4a 7c; Facile | 5min; Toutes; 12m; 30m; 20m; Couenne; 48.322251; -2.0449642
Falaise Casse de Prelles; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Prelles; 15 - 20m; 60; Été, Automne; 4c 7a; Modérée | 20min; Nord; 15m; 20m; 15m; Couenne; 44.841401; 6.574587
Falaise Castillon; France ; Provence Alpes Cote d'Azur ; Alpes Maritime ; Castillon; 15 - 30m; 30; Printemps, Automne, Hiver; 6b 8c; Modérée | 10min; Sud, Sud-Ouest; 15m; 30m; 25m; Couenne; 43.826227; 7.484268
Falaise Céüse; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Sigoyer; 15 - 90m; 400; Printemps, Été, Automne; 5a 9b; Raide | 60min; Sud, Sud-Est, Sud-Ouest, Est, Ouest; 15m; 90m; 35m; Couenne; 44.496701; 5.942929
Falaise Chabanne; France ; Rhone Alpes ; Ardèche ; Lussas; 10 - 20m; 160; Printemps, Été, Automne; 4b 8a; Facile | 10min; Nord-Ouest; 10m; 20m; 15m; Couenne; 44.623589; 4.458550
Falaise Chaignay; France ; Bourgogne ; Côte d'Or ; Chaignay; 4 - 5m; 10; Printemps, Automne; 6a 6c; Facile | 1min; Sud; 4m; 5m; 5m; Bloc; 47.478953; 5.087560
Falaise Chamandrin; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Chamandrin; 10 - 12m; 25; Printemps, Été, Automne; 4b 7a; Facile | 5min; Est; 10m; 12m; 12m; Couenne; 44.881166; 6.615786
Falaise Chambolle; France ; Bourgogne ; Côte d'Or ; Chambolle-Musigny; 15 - 25m; 70; Printemps, Automne, Hiver; 4b 8a; Facile | 15min; Sud; 15m; 25m; 20m; Couenne; 47.189073; 4.943971
Falaise Chamtadu; France ; Rhone Alpes ; Ardèche ; Lanas; 15 - 20m; 33; Printemps, Été, Automne; 4a 6c; Facile | 5min; Est; 15m; 20m; 18m; Couenne; 44.523804; 4.391784
Falaise Chapelle Saint-Gras; France ; Rhone Alpes ; Haute Savoie ; Mieussy; 7 - 44m; 200; Printemps, Été, Automne; 5b 8c; Facile | 10min; Nord; 7m; 44m; 25m; Couenne; 46.130229; 6.540631
Falaise Chat Gourmand; France ; Rhone Alpes ; Ardèche ; Le Pouzin; 5 - 20m; 150; Printemps, Automne, Hiver; 4c 7c; Modérée | 20min; Sud, Sud-Ouest; 5m; 20m; 15m; Bloc, Couenne; 44.765380; 4.730000
Falaise Château du roi; France ; Rhone Alpes ; Isère ; Vizille; 10 - 26m; 27; Printemps, Automne; 4a 6c; Facile | 5min; Est; 10m; 26m; 20m; Couenne; 45.078047; 5.775412
Falaise Châteauvert – Vallon Sourn; France ; Provence Alpes Cote d'Azur ; Var ; Châteauvert; 15 - 40m; 220; Printemps, Automne; 4a 8b; Facile | 5min; Sud, Sud-Est, Sud-Ouest, Est, Ouest; 15m; 40m; 25m; Couenne; 43.493443; 6.044447
Falaise Châtillon; France ; Rhone Alpes ; Haute Savoie ; Châtillon-sur-Cluses; 10 - 22m; 19; Printemps, Été, Automne, Hiver; 6a 8c; Facile | 8min; Sud, Sud-Ouest; 10m; 22m; 15m; Couenne; 46.088315; 6.55844]
Falaise Chavoul; France ; Rhone Alpes ; Drome ; montbrun les bains; 10 - 20m; 20; Printemps, Été, Automne; 4a 7b; Facile | 5min; Nord-Ouest, Ouest; 10m; 20m; 15m; Couenne; 44.156092;  5.43590
Falaise Chez Roger; France ; Rhone Alpes ; Isère ; Seyssinet Pariset; 20 - 20m; 18; Printemps, Été, Automne; 5c 7c; Facile | 10min; Sud, Sud-Est; 20m; 20m; 20m; Couenne; 45.171720; 5.670061
Falaise Claret; France ; Languedoc Roussillon ; Hérault ; Les Embruscalles; 15 - 35m; 150; Printemps, Automne, Hiver; 5b 8c; Modérée | 10min; Sud, Sud-Est; 15m; 35m; 30m; Couenne; 43.871715; 3.869804
Falaise Clémont; France ; Franche Comté ; Doubs ; Montécheroux; 14 - 25m; 72; Automne, Hiver; 4c 8c; Facile | 5min; Sud; 14m; 25m; 22m; Couenne; 47.357751; 6.779122
Falaise Clue de plaisians; France ; Rhone Alpes ; Drome ; plaisians; 10 - 50m; 35; Printemps, Été, Automne, Hiver; 4b 7c; Facile | 1min; Sud, Sud-Ouest; 10m; 50m; 30m; Couenne, Voie de plusieurs longueurs; 44.226965; 5.307855
Falaise Col d’Ech; France ; Midi Pyrénées ; Hautes Pyrénées ; Omex; 25 - 40m; 50; Printemps, Hiver; 4b 7c; Modérée | 30min; Ouest; 25m; 40m; 30m; Couenne; 43.087451; -0.0931474
Falaise Col de Saint-Saturnin; France ; Rhone Alpes ; Savoie ; Chambery; 12 - 30m; 20; Printemps, Automne; 6a 7c; Facile | 5min; Sud; 12m; 30m; 22m; Couenne; 45.600745; 5.937166
Falaise Col du chat; France ; Rhone Alpes ; Savoie ; Hameau du col du chat; 25 - 35m; 45; Printemps, Été, Automne; 6a 8b; Facile | 5min; Nord-Est; 25m; 35m; 30m; Couenne; 45.689484; 5.850924
Falaise Col du Roux; France ; Rhone Alpes ; Drome ; Eyroles; 15 - 25m; 20; Printemps, Automne, Hiver; 4a 9a; Facile | 5min; Sud-Ouest, Ouest; 15m; 25m; 20m; Couenne; 44.407925; 5.220308
Falaise Collias; France ; Languedoc Roussillon ; Gard ; Collias; 15 - 80m; 220; Printemps, Automne, Hiver; 4a 8b; Facile | 15min; Sud, Sud-Est, Sud-Ouest; 15m; 80m; 30m; Couenne, Voie de plusieurs longueurs; 43.951047; 4.474724
Falaise Combe de l’ermitage; France ; Provence Alpes Cote d'Azur ; Vaucluse ; Villes-sur-Auzon; 20 - 30m; 83; Printemps, Automne, Hiver; 4c 8a; Facile | 5min; Sud, Sud-Est; 20m; 30m; 25m; Couenne; 44.062182; 5.252294
Falaise Comboire; France ; Rhone Alpes ; Isère ; Claix; 15 - 80m; 151; Printemps, Automne, Hiver; 4a 8c; Facile | 5min; Sud, Sud-Est, Sud-Ouest; 15m; 80m; 40m; Couenne, Voie de plusieurs longueurs; 45.133708; 5.677077
Falaise Connelles; France ; Haute Normandie ; Eure ; Connelles; 10 - 38m; 130; Printemps; 4a 7b; Facile | 4min; Sud, Sud-Ouest; 10m; 38m; 25m; Couenne; 49.277482; 1.271785
Falaise Corbières; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Pont-du-Fossé; 15 - 50m; 70; Printemps, Automne; 5c 8a; Modérée | 15min; Sud-Est; 15m; 50m; 30m; Couenne; 44.680348; 6.255635
Falaise Cormatin; France ; Bourgogne ; Saone et Loire ; Cormatin; 10 - 15m; 25; Printemps, Automne; 5a 8a; Facile | 5min; Nord-Est, Est; 10m; 15m; 12m; Couenne; 46.533698; 4.683636
Falaise Cormot; France ; Bourgogne ; Saone et Loire ; Cormot Le Petit; 10 - 35m; 275; Printemps, Automne; 4a 7c; Facile | 15min; Sud; 10m; 35m; 30m; Couenne; 46.971894; 4.653941
Falaise Côté Court; France ; Rhone Alpes ; Drome ; Oriol-en-Royans; 15 - 25m; 32; Hiver; 6c 9a; Facile | 8min; Sud; 15m; 25m; 20m; Couenne; 44.973663; 5.243353
Falaise Courpatas; France ; Rhone Alpes ; Ardèche ; Louyre; 15 - 30m; 110; Printemps, Été, Automne; 4c 8a; Facile | 10min; Ouest; 15m; 30m; 20m; Couenne; 44.675001; 4.477427
Falaise Crussol top secret; France ; Rhone Alpes ; Ardèche ; Saint Peray; 8 - 20m; 20; Printemps, Été, Automne, Hiver; 4c 8a; Modérée | 15min; Sud-Ouest; 8m; 20m; 15m; Couenne; 44.935814; 4.848423
Falaise D.J. Face; France ; Rhone Alpes ; Isère ; Fontaine; 25 - 60m; 91; Printemps, Été, Automne; 6a 8c; Modérée | 30min; Nord-Est, Est; 25m; 60m; 30m; Couenne; 45.195042; 5.658431
Falaise Dauphins; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Pont-du-Fossé; 8 - 25m; 55; Printemps, Automne; 4a 7b; Facile | 5min; Sud; 8m; 25m; 17m; Couenne; 44.679334; 6.254525
Falaise Dent de Crolles; France ; Rhone Alpes ; Isère ; Saint Pancrasse; 20 - 150m; 45; Printemps, Été, Automne; 4a 8a; Raide | 70min; Sud, Sud-Ouest, Ouest; 20m; 150m; 25m; Couenne, Voie de plusieurs longueurs; 45.309696; 5.852236
Falaise Désert de l’écureuil; France ; Rhone Alpes ; Isère ; Seyssinet Pariset; 15 - 40m; 10; Printemps, Automne; 6a 6b; Facile | 1min; Sud-Ouest; 15m; 40m; 35m; Couenne; 45.176803; 5.677742
Falaise Dun-les-Places (Rocher du Chien); France ; Bourgogne ; Nièvre ; Dun-les-Places; 15 - 40m; 10; Printemps, Automne; 6a 6b; Facile | 1min; Toutes; 30m; 15m; Couenne; if; 47.284685; 4.043186
Falaise Entraygues; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Vallouise; 15 - 25m; 32; Printemps, Été; 6a 9a; Facile | 5min; Nord; 15m; 25m; 20m; Couenne; 44.830476; 6.403334
Falaise Entreserres; France ; Midi Pyrénées ; Ariège ; Ax-les-Thermes; 10 - 45m; 23; Printemps, Été, Automne; 4a 6c; Modérée | 10min; Nord-Ouest; 10m; 45m; 25m; Couenne; 42.716324; 1.850209
Falaise Eson-Pont de Barret; France ; Rhone Alpes ; Drome ; Pont de Barret; 20 - 35m; 80; Hiver; 5b 7c; Modérée | 30min; Sud, Ouest; 20m; 35m; 30m; Couenne; 44.608413; 5.018584
Falaise Espace Comboire; France ; Rhone Alpes ; Isère ; Seyssins; 15 - 70m; 138; Printemps, Automne; 4c 8b; Facile | 15min; Est; 15m; 70m; 25m; Couenne; 45.146399; 5.686572
Falaise Falaise de Balugue; France ; Midi Pyrénées ; Hautes Pyrénées ; Grézian; 10 - 30m; 25; Printemps, Été, Automne; 4a 7c; Facile | 10min; Nord-Ouest; 10m; 30m; 20m; Couenne; 42.883955; 0.351573
Falaise Falaise de la Puya; France ; Rhone Alpes ; Haute Savoie ; Le Petit Bornand; 10 - 35m; 30; Printemps, Été, Automne; 4a 6b; Facile | 2min; Ouest; 10m; 35m; 25m; Couenne; 45.980832; 6.388002
Falaise Fetid Beach; France ; Provence Alpes Cote d'Azur ; Bouches du Rhone ; Apt; 10 - 25m; 50; Printemps, Été, Automne; 6c 9a; Facile | 10min; Nord, Nord-Ouest; 10m; 25m; 18m; Couenne; 43.857946; 5.325794
Falaise Fixin; France ; Bourgogne ; Côte d'Or ; Fixin; 10 - 30m; 220; Printemps, Été, Automne; 4b 8c; Facile | 20min; Sud; 10m; 30m; 25m; Couenne; 47.250543; 4.953501
Falaise Font Romeu – Rocher du golf; France ; Languedoc Roussillon ; Pyrénées orientales ; Font-Romeu; 20 - 20m; 25; Printemps, Automne; 4c 7a; Facile | 10min; Sud, Sud-Ouest, Ouest; 20m; 20m; 20m; Couenne; 42.509782; 2.034254
Falaise Fontainebleau – 95.2; France ; Ile de France ; Seine et Marne ; Noisy-sur-École; 2 - 7m; 300; Printemps, Automne, Hiver; 4a 8b; Facile | 10min; Toutes; 2m; 7m; 4m; Bloc; 48.385346; 2.53115]
Falaise Fontainebleau – Gorges du Houx; France ; Ile de France ; Seine et Marne ; Fontainebleau; 3 - 7m; 200; Printemps, Automne, Hiver; 4a 8a; Facile | 10min; Toutes; 3m; 7m; 5m; Bloc; 48.402510; 2.653039
Falaise Fontainebleau – Isatis; France ; Ile de France ; Seine et Marne ; Arbonne la forêt; 3 - 6m; 520; Printemps, Automne, Hiver; 4a 8b; Facile | 10min; Toutes; 3m; 6m; 5m; Bloc; 48.409623; 2.600189
Falaise Fontainebleau – L’éléphant; France ; Ile de France ; Seine et Marne ; Larchant; 2 - 10m; 400; Printemps, Automne, Hiver; 4a 8b; Facile | 10min; Toutes; 2m; 10m; 4m; Bloc; 48.293888; 2.594031
Falaise Fontainebleau – La Roche aux Sabots; France ; Ile de France ; Seine et Marne ; Noisy sur Ecole; 2 - 5m; 250; Printemps, Automne, Hiver; 4a 8a; Facile | 8min; Toutes; 2m; 5m; 4m; Bloc; 48.37499 ; 2.514251
Falaise Fontainebleau – Le Bas Cuvier; France ; Ile de France ; Seine et Marne ; Barbizon; 2 - 10m; 450; Printemps, Automne, Hiver; 4a 8c; Facile | 5min; Toutes; 2m; 10m; 4m; Bloc; 48.447091; 2.638937
Falaise Fontainebleau – Les gorges d’Apremont; France ; Ile de France ; Seine et Marne ; Barbizon; 2 - 7m; 520; Automne, Hiver; 4a 8c; Facile | 10min; Toutes; 2m; 7m; 4m; Bloc; 48.436328; 2.629246
Falaise Fontainebleau – Petit Bois; France ; Ile de France ; Seine et Marne ; Nemours; 3 - 7m; 240; Printemps, Automne, Hiver; 4a 8b; Facile | 1min; Toutes; 3m; 7m; 5m; Bloc; 48.263986; 2.670938
Falaise Fontainebleau – Rocher Canon; France ; Ile de France ; Seine et Marne ; Bois le roi; 2 - 7m; 550; Printemps, Automne, Hiver; 4a 8b; Facile | 10min; Toutes; 2m; 7m; 4m; Bloc; 48.463102; 2.663038
