spot; pays; region; departement; ville; hauteur; nb_lignes; meileures_saisons; cotations; approche; orientation; hauteur_min; hauteur_max; hauteur_moyenne; type; latitude; longitude
Falaise Fontainebleau – Rocher Gréau; France ; Ile de France ; Seine et Marne ; Nemours; 3 - 6m; 110; Printemps, Automne, Hiver; 4a 8c; Facile | 5min; Toutes; 3m; 6m; 5m; Bloc; 48.261943; 2.685551
Falaise Fontgarnide; France ; Rhone Alpes ; Ardèche ; Salavas; 7 - 40m; 105; Printemps, Été, Automne, Hiver; 4b 8b; Facile | 5min; Ouest; 7m; 40m; 30m; Couenne; 44.394787; 4.366464
Falaise Fort de mevouillon; France ; Rhone Alpes ; Drome ; mevouillon; 15 - 40m; 50; Printemps, Été, Automne, Hiver; 4c 8c; Modérée | 15min; Est, Ouest; 15m; 40m; 25m; Bloc, Couenne; 44.235575; 5.480631
Falaise Francardo; France ; Corse ;  ; Francardo; 10 - 25m; 100; Printemps, Été, Automne; 5a 8a; Facile | 20min; Nord, Nord-Est, Ouest; 10m; 25m; 20m; Couenne; 42.395010; 9.194633
Falaise Frontenac (La Lirette); France ; Aquitaine ; Gironde ; Frontenac (gironde); 10 - 15m; 115; Printemps, Automne, Hiver; 5a 7a; Facile | 5min; Sud, Sud-Est, Est; 10m; 15m; 12m; Couenne; 44.733610; -0.1638473
Falaise Géligny; France ; Bourgogne ;  ; Sombernon; 10 - 25m; 80; Printemps, Été, Automne; 4a 7a; Facile | 10min; Nord-Ouest, Ouest; 10m; 25m; 20m; Couenne; 47.303459; 4.668512
Falaise Génat; France ; Midi Pyrénées ; Ariège ; Génat; 8 - 45m; 100; Printemps, Automne; 5c 8c; Facile | 15min; Sud, Sud-Est, Sud-Ouest; 8m; 45m; 25m; Couenne; 42.816527; 1.564586
Falaise Génos; France ; Midi Pyrénées ; Hautes Pyrénées ; Génos; 6 - 12m; 10; Printemps, Automne; 4a 5b; Facile | 3min; Sud; 6m; 12m; 10m; Couenne; 42.808896; 0.406306
Falaise Glésy; France ; Rhone Alpes ; Isère ; Saint Bernard du Touvet; 25 - 35m; 65; Printemps, Automne; 5b 8b; Modérée | 10min; Sud, Sud-Est, Est; 25m; 35m; 29m; Couenne; 45.336897; 5.912940
Falaise Gorges du Tarn (Amphithéâtre); France ; Languedoc Roussillon ; Lozère ; Les Vignes (48); 15 - 45m; 21; Printemps, Automne; 6b 8b; Modérée | 20min; Sud-Est; 15m; 45m; 30m; Couenne; 44.308103; 3.246201
Falaise Gorges du Tarn (Calmez-vous); France ; Languedoc Roussillon ; Lozère ; Les Vignes; 15 - 25m; 29; Printemps, Automne; 6a 8a; Facile | 5min; Sud-Est; 15m; 25m; 20m; Couenne; 44.308809; 3.248637
Falaise Gorges du Tarn (Figues au cul); France ; Languedoc Roussillon ; Lozère ; Les vignes (48); 20 - 50m; 14; Printemps, Été, Automne; 5a 8b; Facile | 2min; Sud-Ouest, Ouest; 20m; 50m; 30m; Couenne; 44.305028; 3.243714
Falaise Gorges du Tarn (L’oasif); France ; Languedoc Roussillon ; Lozère ; Les Vignes (48); 15 - 35m; 22; Printemps, Automne; 6c 8c; Facile | 5min; Sud-Ouest; 15m; 35m; 30m; Couenne; 44.30681 ; 3.254904
Falaise Gorges du Tarn (Navire); France ; Languedoc Roussillon ; Lozère ; Les Vignes (48); 18 - 35m; 19; Printemps, Automne; 6a 7c; Facile | 10min; Sud-Est; 18m; 35m; 25m; Couenne; 44.310429; 3.248025
Falaise Gorges du Tarn (Tennessee); France ; Languedoc Roussillon ; Lozère ; Les Vignes (48); 10 - 70m; 25; Printemps, Automne; 5c 8b; Facile | 5min; Sud, Sud-Ouest, Ouest; 10m; 70m; 35m; Couenne; 44.307984; 3.247249
Falaise Gorges du Tarn (Trésor du zèbre); France ; Languedoc Roussillon ; Lozère ; Les Vignes; 17 - 35m; 19; Printemps, Automne; 6a 7c; Modérée | 10min; Nord-Ouest, Sud, Sud-Ouest, Ouest; 17m; 35m; 25m; Couenne; 44.308381; 3.252428
Falaise Grotte des branches; France ; Rhone Alpes ; Ardèche ; Salavas; 15 - 60m; 50; Été, Automne; 6b 8c; Raide | 15min; Nord; 15m; 60m; 25m; Couenne; 44.380956; 4.409176
Falaise Hautepierre; France ; Franche Comté ; Doubs ; Hautepierre le Châtelet; 20 - 90m; 112; Printemps, Automne, Hiver; 4a 8b; Facile | 5min; Sud; 20m; 90m; 35m; Couenne, Voie de plusieurs longueurs; 47.050983; 6.279405
Falaise Hourat; France ; Aquitaine ; Pyrénées Atlantiques ; Laruns; 45 - 60m; 30; Printemps, Été, Automne, Hiver; 5c 8a; Modérée | 20min; Sud, Sud-Est; 45m; 60m; 50m; Couenne; 42.979904; -0.4230954
Falaise I Curriali; France ; Corse ;  ; Île-Rousse; 10 - 20m; 25; Printemps, Été, Automne; 4a 8a; Facile | 5min; Nord, Ouest; 10m; 20m; 20m; Couenne; 42.613891; 8.939400
Falaise Jeau; France ; Rhone Alpes ; Isère ; Salavas; 10 - 15m; 22; Printemps, Été, Automne, Hiver; 4a 7c; Facile | 5min; Sud; 10m; 15m; 12m; Couenne; 44.392487; 4.387021
Falaise Junac; France ; Midi Pyrénées ; Ariège ; Capoulet-et-Junac; 15 - 30m; 27; Printemps, Été, Automne; 5b 8a; Facile | 15min; Sud-Est; 15m; 30m; 20m; Couenne; 42.791088; 1.568655
Falaise Kerlouan; France ; Bretagne ; Finistère ; Kerlouan; 3 - 8m; 1000; Printemps, Été; 4a 8b; Facile | 1min; Toutes; 3m; 8m; 5m; Bloc; 48.669623; -4.3637180
Falaise Krappenfels-Gimbelhof et Loewenstein; France ; Alsace ; Bas Rhin ; Lembach; 15 - 20m; 29; Printemps, Été, Automne; 5b 7c; Raide | 15min; Sud, Est, Ouest; 15m; 20m; 18m; Bloc, Couenne; 49.052604; 7.786426
Falaise Krappenfels-Lutzelbourg; Lutzelbourg;  ;  ;  ; 10 - 20m; 110; Printemps, Été, Automne; 5a 8c; Facile | 15min; Sud; 10m; 20m; 18m; Couenne; 48.737779; 7.256248
Falaise L’Arselle; France ; Rhone Alpes ; Isère ; Chamrousse; 12 - 15m; 37; Printemps, Automne; 4a 6a; Facile | 15min; Sud-Est; 12m; 15m; 15m; Couenne; 45.093125; 5.877900
Falaise L’auberge espagnole; France ; Rhone Alpes ; Drome ; Oriol en royans; 15 - 35m; 67; Automne; 5c 8c; Facile | 25min; Sud, Sud-Est; 15m; 35m; 25m; Couenne; 44.978154; 5.255107
Falaise L’Eau Vive; France ; Rhone Alpes ; Haute Savoie ; Annecy; 12 - 35m; 25; Printemps, Automne; 6a 8b; Modérée | 25min; Ouest; 12m; 35m; 20m; Couenne; 45.856328; 6.102305
Falaise L’échappatoire; France ; Corse ;  ; Ajaccio; 10 - 20m; 14; Printemps, Automne; 5c 6c; Modérée | 20min; Ouest; 10m; 20m; 20m; Couenne; 41.943380; 8.677734
Falaise L’île-aux-Pies; France ; Bretagne ; Ille et Vilaine ; Bains-sur-Oust; 20 - 25m; 65; Printemps, Automne; 4a 7b; Facile | 10min; Ouest; 20m; 25m; 23m; Couenne; 47.708147; -2.1176050
Falaise l’Isolé; France ;  ;  ; Connelles; 5 - 15m; 8; Printemps, Été; 4a 6b; Modérée | 5min; Nord, Sud, Est, Ouest; 5m; 15m; 12m; Couenne; 49.272596; 1.271804
Falaise La Baleine; France ; Provence Alpes Cote d'Azur ; Vaucluse ; Saint-Léger-du-Ventoux; 20 - 40m; 100; Printemps, Été; 6a 8c; Modérée | 15min; Nord-Est, Sud, Sud-Est, Est; 20m; 40m; 28m; Couenne; 44.217239; 5.235462
Falaise La Balme de Yenne; France ; Rhone Alpes ; Savoie ; Chambery; 15 - 45m; 64; Printemps, Été, Automne; 6b 9a; Facile | 2min; Nord; 15m; 45m; 24m; Couenne; 45.708067; 5.724729
Falaise La Barmaud; France ; Franche Comté ; Doubs ; Ornans; 15 - 40m; 195; Été, Automne; 4a 8c; Modérée | 20min; Nord, Nord-Est, Nord-Ouest, Sud-Ouest, Ouest; 15m; 40m; 35m; Couenne; 47.106277; 6.108087
Falaise La Bastille; France ; Rhone Alpes ; Isère ; Saint Martin le Vinoux; 10 - 50m; 75; Printemps, Été, Automne, Hiver; 4a 7c; Facile | 5min; Sud-Ouest; 10m; 50m; 25m; Couenne; 45.202542; 5.722804
Falaise La Betta; France ; Rhone Alpes ; Isère ; Laval; 10 - 30m; 15; Été; 4b 7a; Modérée | 15min; Nord; 10m; 30m; 20m; Couenne; 45.213184; 5.993835
Falaise La Boissière; France ; Pays de la Loire ; Vendée ; Mouchamps; 18 - 33m; 20; Été, Automne; 4a 6a; Facile | 1min; Nord-Est; 18m; 33m; 30m; Couenne; 46.785389; -1.0244880
Falaise La Brême; France ; Franche Comté ; Doubs ; Ornans; 20 - 40m; 150; Automne, Hiver; 4a 8a; Modérée | 20min; Sud, Sud-Ouest, Ouest; 20m; 40m; 30m; Couenne, Voie de plusieurs longueurs; 47.118913; 6.126487
Falaise La Capelle; France ; Languedoc Roussillon ; Gard ; La capelle et Masmolène; 2 - 8m; 250; Automne, Hiver; 4a 8b; Facile | 5min; Toutes; 2m; 8m; 4m; Bloc; 44.052501; 4.532643
Falaise La Combe d’Arveaux; France ; Bourgogne ; Côte d'Or ; Lantenay; 3 - 30m; 310; Printemps, Automne; 4a 7c; Facile | 10min; Sud, Sud-Est, Sud-Ouest, Est, Ouest; 3m; 30m; 22m; Couenne; 47.348654; 4.854571
Falaise La combe obscure; France ; Provence Alpes Cote d'Azur ; Vaucluse ; bédoin; 10 - 40m; 55; Printemps, Automne; 4a 7c; Modérée | 20min; Sud; 10m; 40m; 35m; Couenne; 44.148484; 5.151516
Falaise La concession – Faron Nord; France ; Provence Alpes Cote d'Azur ; Var ; Toulon; 15 - 45m; 60; Printemps, Été, Automne; 5b 8c; Raide | 5min; Nord; 15m; 45m; 30m; Couenne; 43.147270; 5.959122
Falaise la croix des têtes; France ; Rhone Alpes ; Savoie ; saint julien mont denis; 250 - 630m; 15; Printemps, Automne; 6a 8a; Raide | 150min; Sud-Ouest, Est; 250m; 630m; 300m; Voie de plusieurs longueurs; 45.265584; 6.439962
Falaise La Culaz; France ; Rhone Alpes ; Haute Savoie ; Le Grand Bornand; 10 - 25m; 46; Printemps, Automne; 4a 8a; Facile | 10min; Sud-Est; 10m; 25m; 15m; Couenne; 45.966641; 6.421184
Falaise La Flachère; France ; Rhone Alpes ; Isère ; Saint Vincent de Mercuze; 10 - 20m; 21; Printemps, Automne; 4a 7c; Facile | 5min; Sud, Sud-Est; 10m; 20m; 15m; Couenne; 45.394728; 5.951972
Falaise La Goulandière; France ; Rhone Alpes ; Drome ; Balme de rencurel; 15 - 40m; 47; Printemps, Été; 5c 7c; Modérée | 25min; Sud-Est; 15m; 40m; 35m; Couenne; 45.086157; 5.458581
Falaise La Grande Falaise Freissinières; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Freissinières; 12 - 150m; 130; Printemps, Automne; 5a 8c; Modérée | 15min; Sud, Sud-Ouest; 12m; 150m; 25m; Couenne; 44.756745; 6.54665]
Falaise la grisiere; France ; Bourgogne ; Saone et Loire ; Mâcon; 10 - 20m; 38; Printemps, Été, Automne; 5a 6c; Facile | 5min; Nord, Nord-Est, Est; 10m; 20m; 15m; Couenne; 46.335935; 4.818139
Falaise La Justice (Belfort); France ; Franche Comté ; Territoire de Belfort ; Belfort; 10 - 20m; 100; Printemps, Été, Automne; 4b 7c; Facile | 5min; Nord-Ouest; 10m; 20m; 15m; Couenne; 47.644234; 6.877643
Falaise La Payre; France ; Rhone Alpes ; Ardèche ; Le Pouzin; 20 - 30m; 100; Printemps, Automne, Hiver; 5b 8a; Facile | 10min; Sud; 20m; 30m; 25m; Couenne; 44.731404; 4.735000
Falaise La pierre du Quart (pierre de carré); France ; Rhone Alpes ; Savoie ; Chindrieux; 20 - 30m; 70; Printemps, Été, Automne, Hiver; 4c 8b; Modérée | 10min; Nord-Ouest, Sud, Sud-Ouest; 20m; 30m; 25m; Couenne; 45.786143; 5.863550
Falaise La plage; France ; Rhone Alpes ; Drome ; Oriol en royans; 20 - 35m; 34; Automne, Hiver; 6a 8b; Facile | 10min; Sud, Sud-Est; 20m; 35m; 25m; Couenne; 44.971620; 5.240693
Falaise La ramirole; France ; Provence Alpes Cote d'Azur ; Alpes de haute Provence ; Aiguines; 20 - 160m; 70; Été; 6c 9b; Raide | 20min; Nord; 20m; 160m; 40m; Couenne, Voie de plusieurs longueurs; 43.734891; 6.363294
Falaise la roche de murs; France ; Pays de la Loire ; Maine et Loire ; murs-érigné; 15 - 25m; 5; Été; 5c 6b; Facile | 8min; Nord; 15m; 25m; 20m; Couenne; 47.403823; -0.5450999
Falaise La Roche de Solutré; France ; Bourgogne ; Saone et Loire ; Solutré-Pouilly; 15 - 25m; 65; Printemps, Automne, Hiver; 4a 7b; Facile | 10min; Sud, Sud-Est, Sud-Ouest; 15m; 25m; 20m; Couenne; 46.298737; 4.718381
Falaise La Roche Ronde; France ; Midi Pyrénées ; Ariège ; Rabat-les-Trois-Seigneurs; 10 - 80m; 50; Printemps, Automne; 4b 8b; Modérée | 35min; Sud, Sud-Est; 10m; 80m; 35m; Voie de plusieurs longueurs; 42.862360; 1.545853
Falaise La roche sur le buis; France ; Rhone Alpes ; Drome ; la roche sur le buis; 2 - 50m; 50; Printemps, Automne, Hiver; 4a 8a; Modérée | 20min; Sud; 2m; 50m; 25m; Bloc, Couenne; 44.280727; 5.313251
Falaise La Roche, le Tunnel; France ; Rhone Alpes ; Ardèche ; Vogüé; 15 - 25m; 29; Printemps, Été, Automne; 4a 7a; Facile | 5min; Nord; 15m; 25m; 19m; Couenne; 44.549897; 4.408489
Falaise La Saume; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; ceillac; 12 - 25m; 43; Été; 6b 8c; Modérée | 60min; Nord-Est; 12m; 25m; 20m; Couenne; 44.658030; 6.727409
Falaise la Spéleologue; France ; Haute Normandie ; Eure ; le Thuit 27700; 15 - 33m; 70; Printemps; 6a 8b; Facile | 10min; Sud; 15m; 33m; 25m; Couenne; 49.253475; 1.358854
Falaise La Trouée; Connelles;  ;  ;  ; 8 - 12m; 8; Printemps, Été; 4b 5a; Facile | 3min; Ouest; 8m; 12m; 8m; Couenne; 49.276143; 1.271899
Falaise Le Biclop; France ; Rhone Alpes ; Haute Savoie ; Annecy; 10 - 125m; 150; Printemps, Automne, Hiver; 4c 8b; Facile | 5min; Sud-Ouest; 10m; 125m; 25m; Couenne, Voie de plusieurs longueurs; 45.898983; 6.163963
Falaise Le Bourrinoire; France ; Rhone Alpes ; Haute Savoie ; Fillinges; 2 - 6m; 50; Printemps, Été, Automne; 5c 8b; Facile | 20min; Ouest; 2m; 6m; 3m; Bloc; 46.175426; 6.376592
Falaise Le Château; France ; Rhone Alpes ; Ardèche ; Chomerac; 5 - 25m; 42; Printemps, Été, Automne; 4a 6b; Facile | 15min; Nord; 5m; 25m; 20m; Couenne; 44.688899; 4.439721
Falaise Le Cimai; France ; Provence Alpes Cote d'Azur ; Var ; Cimaï; 15 - 45m; 250; Automne, Hiver; 4a 8c; Facile | 10min; Sud, Sud-Est; 15m; 45m; 30m; Couenne; 43.17582 ; 5.842248
Falaise Le cirque de Gens; France ; Rhone Alpes ; Ardèche ; Chauzon; 22 - 45m; 315; Printemps, Automne, Hiver; 4b 8a; Facile | 20min; Sud, Sud-Est, Sud-Ouest; 22m; 45m; 25m; Couenne, Voie de plusieurs longueurs; 44.479916; 4.345371
Falaise Le cirque de Gens; France ; Rhone Alpes ; Ardèche ; Chauzon; 15 - 45m; 315; Printemps, Été, Automne, Hiver; 4b 8a; Facile | 15min; Sud; 15m; 45m; 30m; Couenne, Voie de plusieurs longueurs; 44.481075; 4.346122
Falaise Le coup de sabre; France ; Rhone Alpes ; Isère ; Fontaine; 15 - 35m; 55; Printemps, Été, Automne; 5c 7b; Facile | 10min; Nord-Est; 15m; 35m; 30m; Couenne; 45.193137; 5.665726
Falaise Le croë; France ; Rhone Alpes ; Savoie ; Aussois; 3 - 40m; 150; Été, Automne; 4a 8b; Modérée | 5min; Nord, Est, Ouest; 3m; 40m; 20m; Couenne; 45.230195; 6.747523
Falaise Le Foron; France ; Rhone Alpes ; Haute Savoie ; Les Gets; 13 - 30m; 41; Été, Automne; 6a 8b; Modérée | 15min; Nord-Ouest, Sud-Ouest, Ouest; 13m; 30m; 18m; Couenne; 46.176164; 6.613565
Falaise Le groseau; France ; Provence Alpes Cote d'Azur ; Vaucluse ; Malaucène; 15 - 25m; 65; Printemps; 4c 8b; Facile | 15min; Nord-Ouest; 15m; 25m; 20m; Couenne; 44.167825; 5.152805
Falaise Le jardin d’Endieu; France ; Rhone Alpes ; Ardèche ; Berrias et Casteljau; 15 - 25m; 31; Printemps, Été, Automne, Hiver; 4a 7b; Facile | 10min; Sud, Sud-Est, Est; 15m; 25m; 20m; Couenne; 44.403832; 4.195060
Falaise Le Kronthal; France ; Alsace ; Bas Rhin ; Marlenheim; 10 - 30m; 200; Printemps, Été, Automne, Hiver; 5a 9a; Facile | 1min; Sud; 10m; 30m; 20m; Couenne; 48.630272; 7.470597
Falaise le Langenfels; France ; Alsace ; Bas Rhin ; hirschthal; 10 - 50m; 101; Été; 5a 8a; Modérée; Sud; 10m; 50m; 30m; Couenne; 49.049148; 7.776131
Falaise Le Luisset; France ; Rhone Alpes ; Isère ; Saint Pancrasse; 25 - 100m; 235; Printemps, Automne; 4a 8b; Facile | 20min; Sud, Sud-Est; 25m; 100m; 30m; Couenne; 45.284323; 5.855948
Falaise Le Mas d’Oris; France ; Rhone Alpes ; Isère ; Saint Martin le Vinoux; 10 - 35m; 38; Printemps, Automne, Hiver; 4a 7c; Facile | 10min; Sud, Sud-Ouest; 10m; 35m; 25m; Couenne; 45.204734; 5.719928
Falaise Le Mont Dol; France ; Bretagne ; Ille et Vilaine ; Mont-Dol; 12 - 30m; 100; Printemps, Été, Automne, Hiver; 4a 7c; Facile | 5min; Toutes; 12m; 30m; 20m; Couenne; 48.570767; -1.7650766
Falaise Le petit desert; France ; Rhone Alpes ; Isère ; Seyssins; 30 - 35m; 145; Printemps, Automne, Hiver; 4a 7c; Facile | 14min; Sud, Sud-Ouest, Ouest; 30m; 35m; 35m; Couenne; 45.183413; 5.678236
Falaise Le Plantier; France ; Provence Alpes Cote d'Azur ; Alpes Maritime ; Contes; 3 - 21m; 146; Printemps, Été, Automne; 4a 7c; Facile | 10min; Sud-Ouest; 3m; 21m; 12m; Couenne; 43.824080; 7.302890
Falaise Le Randouillet; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; font christiane; 10 - 25m; 90; Printemps, Automne; 4a 7c; Facile | 5min; Sud-Ouest; 10m; 25m; 20m; Couenne; 44.887856; 6.651167
Falaise Le Rif d’Oriol; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; l'Argentifère la Bessée; 20 - 25m; 25; Printemps, Été, Automne; 5b 7c; Facile | 8min; Nord, Sud; 20m; 25m; 25m; Couenne; 44.802780; 6.568794
Falaise Le Rimbau; France ; Languedoc Roussillon ; Pyrénées orientales ; Collioure; 10 - 25m; 25; Printemps, Automne, Hiver; 4a 6b; Facile | 15min; Toutes; 10m; 25m; 20m; Couenne; 42.508489; 3.051924
Falaise Le Roc à Steph; France ; Midi Pyrénées ; Ariège ; Bédeilhac-et-Aynat; 8 - 35m; 45; Printemps, Automne; 4c 7c; Facile | 20min; Sud, Sud-Est, Sud-Ouest; 8m; 35m; 20m; Couenne; 42.863886; 1.558706
Falaise Le rocher qui répond; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Plampinet; 15 - 30m; 45; Printemps, Été, Automne; 4a 7b; Facile | 5min; Ouest; 15m; 30m; 22m; Couenne; 44.994597; 6.665396
Falaise Le Saussois; France ; Bourgogne ; Yonne ; Merry-sur-yonne; 10 - 50m; 250; Printemps, Automne, Hiver; 4a 8c; Facile | 2min; Sud, Sud-Est, Sud-Ouest, Est, Ouest; 10m; 50m; 25m; Couenne; 47.566013; 3.648462
Falaise Le Suet; France ; Rhone Alpes ; Haute Savoie ; Taninges; 12 - 45m; 90; Printemps, Été, Automne; 5c 8c; Modérée | 10min; Sud-Ouest, Ouest; 12m; 45m; 22m; Couenne; 46.118463; 6.555121
Falaise Le Thaurac; France ; Languedoc Roussillon ; Hérault ; St bauzille de Putois; 10 - 100m; 800; Printemps, Automne, Hiver; 4a 8c; Facile | 5min; Nord, Sud, Sud-Ouest, Ouest; 10m; 100m; 30m; Couenne, Voie de plusieurs longueurs; 43.907663; 3.744792
Falaise Le Trou de la Lune; France ; Franche Comté ; Jura ; Poligny; 15 - 50m; 80; Printemps, Automne; 4c 8a; Facile | 1min; Sud-Ouest, Ouest; 15m; 50m; 25m; Couenne; 46.836970; 5.716222
Falaise Le Verger; France ; Bretagne ; Ille et Vilaine ; Le verger; 10 - 20m; 50; Printemps, Été, Automne, Hiver; 4a 7a; Facile | 5min; Nord, Sud, Sud-Est, Sud-Ouest; 10m; 20m; 15m; Couenne; 48.055465; -1.9309115
Falaise Le viel Audon; France ; Rhone Alpes ; Ardèche ; Balazuc; 10 - 35m; 57; Printemps, Été, Automne; 4a 8a; Facile | 15min; Est; 10m; 35m; 25m; Couenne; 44.506759; 4.362967
Falaise Les Ayes; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Chalets des Ayes; 10 - 35m; 40; Printemps, Automne; 5c 7c; Facile | 1min; Sud, Sud-Ouest; 10m; 35m; 25m; Couenne; 44.850394; 6.656492
Falaise Les branches; France ; Rhone Alpes ; Ardèche ; Salavas; 15 - 40m; 47; Printemps, Été, Automne; 6a 8c; Facile | 12min; Nord; 15m; 40m; 30m; Couenne, Voie de plusieurs longueurs; 44.380802; 4.409980
Falaise Les Brieux; France ; Rhone Alpes ; Isère ; Saint Egrève; 15 - 25m; 40; Printemps, Automne; 4a 7c; Facile | 5min; Ouest; 15m; 25m; 20m; Couenne; 45.231306; 5.694394
Falaise Les cabanes; France ; Rhone Alpes ; Ardèche ; Saint Maurice en Chalencon; 10 - 25m; 87; Printemps, Été, Automne; 4a 7b; Raide | 8min; Ouest; 10m; 25m; 20m; Couenne; 44.838147; 4.578372
Falaise Les Communaux; France ; Rhone Alpes ; Isère ; Bernin; 8 - 12m; 24; Printemps, Automne; 4a 6b; Facile | 3min; Est; 8m; 12m; 10m; Couenne; 45.275414; 5.842688
Falaise Les coteaux de Fleuriais; France ; Pays de la Loire ; Vendée ; Mortagne sur Sèvre; 2 - 12m; 250; Été, Automne, Hiver; 4a 7c; Facile | 5min; Sud; 2m; 12m; 5m; Bloc, Couenne; 46.98558 ; -0.9557019
Falaise Les Eaux Claires; France ; Poitou Charentes ; Charente ; Puymoyen; 10 - 20m; 430; Printemps, Automne, Hiver; 4a 9a; Facile | 1min; Sud; 10m; 20m; 18m; Couenne; 45.607091; 0.178387
Falaise Les Forges du diable; France ; Aquitaine ; Dordogne ; Bourdeilles; 10 - 25m; 100; Printemps, Automne, Hiver; 5b 8c; Facile; Sud, Sud-Est; 10m; 25m; 20m; Bloc, Couenne; 45.332998; 0.591373
Falaise Les gorges de la Dourbie (Le Boffi); France ; Midi Pyrénées ; Aveyron ; Millau; 10 - 80m; 180; Printemps, Automne; 4a 9a; Facile | 35min; Sud, Sud-Ouest; 10m; 80m; 30m; Couenne; 44.111776; 3.147924
Falaise Les Gorges du Loup – Secteur Déversé; France ; Provence Alpes Cote d'Azur ; Alpes Maritime ; Nice; 10 - 45m; 100; Été; 6a 9a; Raide | 5min; Est; 10m; 45m; 20m; Couenne; 43.739404; 7.001172
Falaise Les Gorges du Verdon (Hulk); France ; Provence Alpes Cote d'Azur ; Alpes de haute Provence ; La Palud-sur-Verdon; 15 - 180m; 50; Printemps, Été; 5b 8c; Modérée | 20min; Nord-Ouest; 15m; 180m; 30m; Couenne; 43.784976; 6.394628
Falaise Les Graniteurs; France ; Rhone Alpes ; Haute Savoie ; Combloux; 2 - 7m; 42; Printemps, Été, Automne; 4a 8a; Facile | 5min; Nord, Sud, Est, Ouest; 2m; 7m; 3.5m; Bloc; 45.900065; 6.647067
Falaise Les grottes du Loup; France ; Midi Pyrénées ; Hautes Pyrénées ; Lourdes; 5 - 15m; 50; Été, Automne; 4a 7c; Facile | 5min; Nord; 5m; 15m; 10m; Couenne; 43.095760; -0.0609770
