spot; pays; region; departement; ville; hauteur; nb_lignes; meileures_saisons; cotations; approche; orientation; hauteur_min; hauteur_max; hauteur_moyenne; type; latitude; longitude
Falaise Les Herbez; France ; Provence Alpes Cote d'Azur ; Alpes de haute Provence ; La fresquières-méolans revel; 10 - 90m; 180; Printemps, Été, Automne, Hiver; 4a 8c; Facile | 15min; Sud, Sud-Est; 10m; 90m; 35m; Couenne; 44.416371; 6.464509
Falaise Les Herbez; France ; Provence Alpes Cote d'Azur ; Alpes de haute Provence ; Barcelonnette; 18 - 60m; 175; Printemps, Été, Automne, Hiver; 4c 9a; Facile | 15min; Sud, Sud-Est, Sud-Ouest; 18m; 60m; 45m; Couenne; 44.410042; 6.470286
Falaise Les Îles; France ; Corse ;  ; L'Île Rousse; 10 - 15m; 25; Printemps, Été, Automne; 4a 6a; Facile | 5min; Nord-Est, Est; 10m; 15m; 15m; Couenne; 42.644368; 8.932828
Falaise Les Jayères; France ; Rhone Alpes ; Isère ; Veurey-Voroize; 5 - 30m; 10; Printemps, Automne, Hiver; 4a 6c; Facile | 5min; Sud-Est, Est; 5m; 30m; 20m; Couenne; 45.265553; 5.616652
Falaise Les Lames; France ; Rhone Alpes ; Isère ; Saint Martin le Vinoux; 15 - 35m; 58; Printemps, Automne; 4a 8b; Modérée | 20min; Sud-Ouest; 15m; 35m; 30m; Couenne; 45.203366; 5.721484
Falaise Les rochers du Parc (Saussois); France ; Bourgogne ; Yonne ; Mailly le château; 10 - 25m; 170; Printemps, Automne; 4a 8c; Facile | 1min; Sud; 10m; 25m; 20m; Couenne; 47.582202; 3.647305
Falaise Les Saillants; France ; Rhone Alpes ; Isère ; Saillants du Gua; 10 - 35m; 105; Printemps, Automne; 4a 8a; Facile | 15min; Sud-Est; 10m; 35m; 25m; Couenne; 45.032591; 5.635149
Falaise Les Traverses; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Villard Meyer; 20 - 35m; 70; Printemps, Automne; 4b 8b; Facile | 5min; Sud; 20m; 35m; 25m; Couenne; 44.816139; 6.567754
Falaise Les Vignettes; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Villard Meyer; 15 - 25m; 90; Printemps, Automne; 4c 7b; Facile | 10min; Sud, Sud-Est, Sud-Ouest, Est, Ouest; 15m; 25m; 20m; Couenne; 44.813213; 6.570458
Falaise Les Vouillants; France ; Rhone Alpes ; Isère ; Fontaine; 20 - 100m; 211; Printemps, Été, Automne; 4a 8b; Facile | 5min; Nord, Nord-Est; 20m; 100m; 30m; Couenne, Voie de plusieurs longueurs; 45.190332; 5.677067
Falaise Limas; France ; Rhone Alpes ; Rhone ; Limas; 10 - 15m; 32; Printemps, Été, Automne; 4a 7a; Facile | 3min; Toutes; 10m; 15m; 12m; Couenne; 45.967998; 4.701495
Falaise Lortet; France ; Midi Pyrénées ; Hautes Pyrénées ; Lortet; 20 - 25m; 25; Printemps, Été, Automne; 4b 7b; Facile | 5min; Nord-Ouest; 20m; 25m; 20m; Couenne; 43.041974; 0.381742
Falaise Lumbin; France ; Rhone Alpes ; Isère ; Lumbin; 4 - 4m; 19; Printemps, Automne, Hiver; 4a 6c; Facile | 5min; Sud-Est; 4m; 4m; 4m; Bloc; 45.306194; 5.903080
Falaise Lumio; France ; Corse ;  ; Lumio; 10 - 30m; 25; Printemps, Automne; 4a 6c; Facile | 10min; Ouest; 10m; 30m; 20m; Couenne; 42.579709; 8.837181
Falaise Malsaire; France ; Rhone Alpes ; Haute Savoie ; Mont-Saxonnex; 9 - 30m; 70; Printemps, Automne; 4a 8b; Facile | 5min; Sud, Sud-Ouest; 9m; 30m; 16m; Couenne; 46.052244; 6.463077
Falaise Mancy; France ; Franche Comté ; Jura ; Lons Le Saunier; 15 - 20m; 40; Printemps, Automne, Hiver; 4a 7c; Facile | 5min; Sud; 15m; 20m; 20m; Couenne; 46.650393; 5.547603
Falaise Maupas; France ; Rhone Alpes ; Drome ; Malaucène; 30 - 35m; 28; Printemps, Été, Automne; 7a 8b; Facile | 5min; Nord, Nord-Est; 30m; 35m; 30m; Couenne; 44.186966; 5.185106
Falaise Mazet; France ; Rhone Alpes ; Ardèche ; Berrias et Casteljau; 15 - 45m; 121; Printemps, Été, Automne, Hiver; 4a 7c; Facile | 5min; Ouest; 15m; 45m; 30m; Couenne, Voie de plusieurs longueurs; 44.397240; 4.194803
Falaise Médonnet; France ; Rhone Alpes ; Haute Savoie ; Combloux; 2 - 6m; 200; Printemps, Été, Automne; 4b 8a; Facile | 4min; Nord, Sud, Est, Ouest; 2m; 6m; 3m; Bloc; 45.915272; 6.632036
Falaise Mollans-Beaume des Eyguiers; France ; Rhone Alpes ; Drome ; mollans sur ouveze; 10 - 35m; 150; Printemps, Automne, Hiver; 5a 9b; Facile | 10min; Nord, Nord-Est, Sud, Sud-Est; 10m; 35m; 25m; Couenne; 44.241033; 5.200180
Falaise Mont-Dauphin; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Mont-Dauphin; 12 - 30m; 99; Printemps, Été, Automne; 4b 8a; Raide | 10min; Nord, Nord-Ouest, Ouest; 12m; 30m; 15m; Couenne; 44.669935; 6.620657
Falaise Mont-Germain; France ; Franche Comté ; Doubs ; Mouthier-hautepierre; 15 - 40m; 50; Printemps, Automne, Hiver; 6a 8c; Facile | 10min; Sud; 15m; 40m; 20m; Couenne, Voie de plusieurs longueurs; 47.049062; 6.276857
Falaise Mont-roc; France ; Midi Pyrénées ; Tarn ; Mont-roc; 8 - 15m; 60; Printemps, Été, Automne; 4a 7b; Facile | 10min; Sud, Sud-Ouest; 8m; 15m; 10m; Couenne; 43.805781; 2.368257
Falaise Monte San Angelo; France ; Corse ;  ; Monte Silvareccio; 10 - 35m; 40; Printemps, Automne; 5c 8b; Modérée | 20min; Sud, Ouest; 10m; 35m; 20m; Couenne; 42.462837; 9.403975
Falaise Mouriès; France ; Provence Alpes Cote d'Azur ; Bouches du Rhone ; Mouriès; 10 - 25m; 150; Printemps, Automne, Hiver; 4a 8c; Facile | 10min; Nord, Sud; 10m; 25m; 15m; Couenne; 43.712493; 4.875165
Falaise Moustardé; France ; Aquitaine ; Pyrénées Atlantiques ; Laruns; 10 - 30m; 25; Printemps, Automne; 5b 6b; Modérée | 20min; Sud, Sud-Est; 10m; 30m; 20m; Couenne; 42.825834; -0.3985238
Falaise Narbonne; France ; Rhone Alpes ; Isère ; Saint Martin le Vinoux; 20 - 40m; 29; Printemps, Automne; 6a 8b; Modérée | 15min; Est; 20m; 40m; 40m; Couenne; 45.217145; 5.703148
Falaise Niaux; France ; Midi Pyrénées ; Ariège ; Niaux; 10 - 45m; 100; Printemps, Automne; 6a 8b; Modérée | 30min; Sud, Sud-Ouest, Ouest; 10m; 45m; 25m; Couenne; 42.822706; 1.595967
Falaise Notre Dame du Cros; France ; Languedoc Roussillon ; Aude ; Caunes Minervois; 10 - 80m; 183; Printemps, Été, Automne; 4a 7c; Facile | 20min; Sud, Sud-Est, Sud-Ouest; 10m; 80m; 30m; Couenne, Voie de plusieurs longueurs; 43.334880; 2.545108
Falaise Orpierre; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Orpierre; 15 - 190m; 500; Printemps, Automne; 4a 8c; Facile | 15min; Toutes; 15m; 190m; 30m; Couenne, Voie de plusieurs longueurs; 44.316254; 5.691943
Falaise Pelleret; France ; Rhone Alpes ; Drome ; mevouillon; 10 - 35m; 35; Printemps, Été, Automne, Hiver; 5a 8a; Modérée | 10min; Sud; 10m; 35m; 25m; Couenne; 44.251562; 5.494965
Falaise Pelvoux; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; pelvoux; 15 - 25m; 13; Été; 7a 8b; Facile | 5min; Nord; 15m; 25m; 20m; Couenne; 44.877008; 6.477599
Falaise Pen Hir; France ;  ;  ; Camaret; 10 - 70m; 200; Printemps, Été, Automne; 4a 8a; Modérée | 2min; Sud, Sud-Ouest, Est, Ouest; 10m; 70m; 35m; Couenne, Voie de plusieurs longueurs; 48.255835; -4.6217679
Falaise Pic Saint Loup; France ; Languedoc Roussillon ; Hérault ; Saint-Mathieu-de-Tréviers; 18 - 40m; 15; Été; 6c 9a; Raide | 50min; Nord; 18m; 40m; 30m; Couenne; 43.794963; 3.841438
Falaise Pierre Champ Bertin; France ; Rhone Alpes ; Isère ; Bernin; 10 - 15m; 47; Printemps, Automne; 4a 8a; Facile | 10min; Toutes; 10m; 15m; 15m; Couenne; 45.273572; 5.848288
Falaise Pierrot beach; France ; Rhone Alpes ; Drome ; Choranche; 15 - 50m; 89; Printemps, Automne; 5c 9a; Modérée | 15min; Sud-Ouest; 15m; 50m; 25m; Couenne; 45.071047; 5.399609
Falaise Pietralba; France ; Corse ;  ; Pietralba; 10 - 25m; 20; Printemps, Automne; 5a 8a; Facile | 10min; Sud-Est; 10m; 25m; 20m; Couenne; 42.536196; 9.179635
Falaise Pleysse; France ; Aquitaine ; Pyrénées Atlantiques ; Eaux Bonnes; 10 - 20m; 25; Printemps, Automne; 6a 7a; Raide | 50min; Sud; 10m; 20m; 15m; Couenne; 42.974625; -0.3677507
Falaise Pont d’Auzon; France ; Languedoc Roussillon ; Gard ; Boisson (30); 10 - 25m; 50; Printemps, Été, Automne; 4a 6b; Facile | 1min; Nord, Nord-Ouest; 10m; 25m; 20m; Couenne; 44.204374; 4.249743
Falaise Pont d’Espagne – secteur Plateau du Clôt; France ; Midi Pyrénées ; Hautes Pyrénées ; Cauterets; 10 - 25m; 70; Printemps, Été, Automne; 4a 7c; Modérée | 20min; Toutes; 10m; 25m; 15m; Couenne; 42.852278; -0.1457887
Falaise Pont de Vence; France ; Rhone Alpes ; Isère ; Quaix-en-Chartreuse; 15 - 80m; 28; Printemps, Été, Automne; 4c 7b; Raide | 10min; Ouest; 15m; 80m; 25m; Couenne; 45.249361; 5.744562
Falaise Pont des Gets; France ; Rhone Alpes ; Haute Savoie ; Les Gets; 12 - 20m; 14; Printemps, Été; 6c 8a; Raide | 5min; Ouest; 12m; 20m; 15m; Couenne; 46.131639; 6.631514
Falaise Pont Saint Nicolas; France ; Languedoc Roussillon ; Gard ; Blauzac; 10 - 20m; 60; Printemps, Automne, Hiver; 4a 8b; Facile | 15min; Sud, Sud-Est; 10m; 20m; 15m; Couenne; 43.939963; 4.373703
Falaise Port de Lers; France ; Midi Pyrénées ; Ariège ; Aulus-les-Bains; 12 - 35m; 62; Printemps, Automne; 5a 7c; Modérée | 20min; Toutes; 12m; 35m; 20m; Couenne; 42.801918; 1.397967
Falaise Portu; France ; Corse ;  ; Marine de Porto; 10 - 15m; 29; Été, Automne; 4c 7a; Facile | 5min; Nord; 10m; 15m; 15m; Couenne; 42.267384; 8.693904
Falaise Poussebou; France ; Rhone Alpes ; Isère ; Seyssinet Pariset; 4 - 4m; 200; Printemps, Automne, Hiver; 4a 8a; Facile | 10min; Toutes; 4m; 4m; 4m; Bloc; 45.160601; 5.647165
Falaise Remigny; France ; Bourgogne ; Saone et Loire ; Remigny; 15 - 30m; 50; Printemps, Été; 4a 8a; Facile | 1min; Nord, Ouest; 15m; 30m; 20m; Couenne; 46.904998; 4.732608
Falaise Roc d’Aude; France ; Languedoc Roussillon ; Pyrénées orientales ; Les Angles; 15 - 40m; 50; Printemps, Automne; 5a 8a; Facile | 10min; Sud, Sud-Ouest; 15m; 40m; 25m; Couenne; 42.553503; 2.035555
Falaise Roc de la Foradade; France ; Languedoc Roussillon ; Pyrénées orientales ; Thuès-entre-Valls; 25 - 50m; 25; Printemps, Automne; 5a 6a; Raide | 45min; Sud; 25m; 50m; 25m; Couenne; 42.512989; 2.225428
Falaise Roc de Sédour – Secteur Paroi principale; France ; Midi Pyrénées ; Ariège ; Surba; 150 - 250m; 5; Printemps, Automne; 5b 6b; Modérée | 25min; Sud-Est; 150m; 250m; 200m; Voie de plusieurs longueurs; 42.864475; 1.579753
Falaise Roc de Sédour (Couennes); France ; Midi Pyrénées ; Ariège ; Bédeilhac-et-Aynat; 12 - 60m; 100; Printemps, Automne; 5c 8c; Modérée | 40min; Sud-Est, Sud-Ouest, Est, Ouest; 12m; 60m; 35m; Couenne; 42.868423; 1.572664
Falaise Roc Mercadal; France ; Languedoc Roussillon ; Pyrénées orientales ; Puyvalador; 15 - 20m; 20; Printemps, Automne; 4c 7b; Modérée | 20min; Sud; 15m; 20m; 15m; Couenne; 42.663622; 2.109042
Falaise Roche Brune; France ; Rhone Alpes ; Isère ; Le Grand Ratz; 25 - 50m; 42; Printemps, Automne; 5a 7b; Modérée | 20min; Sud; 25m; 50m; 30m; Couenne, Voie de plusieurs longueurs; 45.316680; 5.639350
Falaise Roche Marie; France ; Bretagne ; Ille et Vilaine ; Saint-Aubin-du-Cormier; 6 - 10m; 25; Printemps, Été, Automne; 4a 6c; Facile | 2min; Toutes; 6m; 10m; 8m; Couenne; 48.260481; -1.3844906
Falaise Rocher Baron; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Saint-Martin-de-Queyrières; 15 - 25m; 100; Printemps, Automne; 4a 7c; Facile | 2min; Sud; 15m; 25m; 20m; Couenne; 44.845980; 6.590500
Falaise Rocher de Balcère; France ; Languedoc Roussillon ; Pyrénées orientales ; Les Angles; 10 - 30m; 25; Printemps, Automne; 4c 7a; Facile | 5min; Sud; 10m; 30m; 20m; Couenne; 42.587434; 2.054636
Falaise Rocher de Planès; France ; Languedoc Roussillon ; Pyrénées orientales ; Planès; 20 - 20m; 25; Printemps, Automne; 4a 6b; Facile | 10min; Sud-Ouest, Ouest; 20m; 20m; 20m; Couenne; 42.498139; 2.136846
Falaise Rocher des amoureux; France ; Rhone Alpes ; Savoie ; Modane; 10 - 30m; 92; Printemps, Été; 4a 8a; Facile | 1min; Toutes; 10m; 30m; 20m; Couenne; 45.212417; 6.690305
Falaise Rocher des aures; France ; Rhone Alpes ; Drome ; Roche Saint Secret; 10 - 40m; 72; Printemps, Automne, Hiver; 4a 7c; Raide | 25min; Sud; 10m; 40m; 25m; Couenne; 44.470986; 5.053340
Falaise Rocher des Bouillouses; France ; Languedoc Roussillon ; Pyrénées orientales ; Mont-Louis; 10 - 20m; 25; Printemps, Automne; 4a 6c; Facile | 10min; Sud-Ouest; 10m; 20m; 20m; Couenne; 42.540599; 2.056567
Falaise Rocher des Brumes; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; L‘argentière-la-Bessée; 20 - 35m; 32; Printemps, Été; 7a 9a; Raide | 20min; Sud; 20m; 35m; 30m; Couenne; 44.789655; 6.528947
Falaise Rocher Gafouille; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Briançon; 15 - 30m; 60; Printemps, Été, Automne; 4a 8a; Facile | 5min; Nord-Ouest, Ouest; 15m; 30m; 25m; Couenne; 44.880489; 6.646118
Falaise Rochers du Mollards; France ; Rhone Alpes ; Isère ; Saint-Pierre-de-Chartreuse; 10 - 15m; 40; Printemps, Automne; 4a 7b; Modérée | 10min; Sud; 10m; 15m; 15m; Couenne; 45.341515; 5.833569
Falaise Roches de Sainte Catherine (Vieux Château); France ; Bourgogne ; Côte d'Or ; Vieux Château; 10 - 40m; 60; Printemps, Automne; 4a 8a; Facile | 10min; Sud, Est; 10m; 40m; 25m; Couenne; 47.475008; 4.128739
Falaise Romeyer; France ; Rhone Alpes ; Drome ; Romeyer; 20 - 35m; 114; Automne, Hiver; 4c 8c; Modérée | 15min; Sud, Ouest; 20m; 35m; 25m; Couenne; 44.788526; 5.408996
Falaise Rue des masques; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Guillestres; 20 - 40m; 104; Printemps, Été; 5b 8b; Facile | 5min; Nord, Nord-Ouest; 20m; 40m; 30m; Couenne; 44.669442; 6.641428
Falaise Rurey; France ; Franche Comté ; Doubs ; Rurey; 22 - 30m; 90; Printemps, Automne, Hiver; 5a 8c; Facile | 3min; Sud, Sud-Ouest; 22m; 30m; 30m; Couenne; 47.092118; 5.983860
Falaise Russan; France ; Languedoc Roussillon ; Gard ; Russan; 15 - 45m; 250; Printemps, Automne, Hiver; 4a 8c; Facile | 25min; Sud, Sud-Est, Sud-Ouest; 15m; 45m; 25m; Couenne; 43.927125; 4.340867
Falaise Saffres; France ; Bourgogne ; Côte d'Or ; Saffres; 10 - 35m; 330; Printemps, Automne; 4a 8a; Facile | 10min; Sud; 10m; 35m; 25m; Couenne; 47.371961; 4.581372
Falaise Saint Ange; France ; Rhone Alpes ; Isère ; Grenoble; 15 - 35m; 30; Printemps, Été, Automne; 6a 9a; Facile | 15min; Est; 15m; 35m; 25m; Couenne; 45.093416; 5.648736
Falaise Saint Crépin; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; saint crépin; 15 - 30m; 80; Printemps, Automne; 5b 8b; Facile | 10min; Sud-Est; 15m; 30m; 20m; Couenne; 44.714603; 6.602524
Falaise Saint Egrève; France ; Rhone Alpes ; Isère ; Saint Egrève; 10 - 150m; 204; Printemps, Été, Automne; 4a 8b; Facile | 5min; Sud, Sud-Est, Sud-Ouest, Est, Ouest; 10m; 150m; 20m; Couenne, Voie de plusieurs longueurs; 45.245796; 5.677657
Falaise Saint Julien; France ; Rhone Alpes ; Drome ; buis les baronnies; 25 - 120m; 180; Printemps, Automne, Hiver; 5a 7c; Raide | 20min; Nord, Sud; 25m; 120m; 90m; Voie de plusieurs longueurs; 44.267421; 5.277063
Falaise Saint léger du ventoux; France ; Provence Alpes Cote d'Azur ; Vaucluse ; Saint léger du ventoux; 10 - 40m; 450; Printemps, Été, Automne, Hiver; 6a 9a; Facile | 15min; Nord, Sud, Sud-Ouest, Est, Ouest; 10m; 40m; 25m; Couenne; 44.21427 ; 5.250822
Falaise Saint Paul de Varces; France ; Rhone Alpes ; Isère ; Saint Paul de Varces; 40 - 40m; 23; Printemps, Automne; 6a 7b; Facile | 15min; Sud, Sud-Ouest; 40m; 40m; 40m; Couenne; 45.049937; 5.631608
Falaise Saint-Bauzille-de-Montmel; France ; Languedoc Roussillon ; Hérault ; Saint-Bauzille-de-Montmel; 10 - 25m; 220; Printemps, Automne, Hiver; 4a 8b; Modérée | 10min; Sud, Sud-Est, Sud-Ouest; 10m; 25m; 20m; Couenne; 43.775267; 3.948639
Falaise Saint-Pierre-Dels-Forcats; France ; Languedoc Roussillon ; Pyrénées orientales ; Mont-Louis; 5 - 25m; 20; Printemps, Automne; 4a 6c; Facile | 1min; Sud, Sud-Est, Est; 5m; 25m; 20m; Couenne; 42.488782; 2.121257
Falaise Sainte Croix; France ; Rhone Alpes ; Drome ; Sainte Croix; 15 - 20m; 21; Automne, Hiver; 5c 8c; Modérée | 10min; Sud; 15m; 20m; 20m; Couenne; 44.765272; 5.290539
Falaise Sainte Victoire – Four Solaire; France ; Provence Alpes Cote d'Azur ; Bouches du Rhone ; Saint Antonin sur Bayon; 30 - 80m; 25; Printemps, Automne, Hiver; 5a 7a; Facile | 25min; Sud, Sud-Ouest; 30m; 80m; 55m; Couenne, Voie de plusieurs longueurs; 43.527525; 5.594251
Falaise Seynes; France ; Languedoc Roussillon ; Gard ; Seynes; 15 - 40m; 340; Printemps, Automne, Hiver; 4a 8c; Modérée | 15min; Sud; 15m; 40m; 30m; Couenne; 44.117356; 4.256023
Falaise Sibada; France ; Midi Pyrénées ; Ariège ; Niaux; 10 - 25m; 45; Printemps, Automne; 6a 8a; Facile | 5min; Ouest; 10m; 25m; 15m; Couenne; 42.806476; 1.593049
Falaise Surgy; France ; Bourgogne ; Nièvre ; surgy; 10 - 35m; 350; Printemps, Été, Automne; 4a 8c; Facile | 5min; Sud, Sud-Est, Sud-Ouest, Est; 10m; 35m; 25m; Couenne; 47.494852; 3.507426
Falaise Syratu; France ; Franche Comté ; Doubs ; Mouthier-hautepierre; 25 - 90m; 45; Printemps, Automne; 6b 9a; Modérée | 5min; Sud; 25m; 90m; 35m; Couenne, Voie de plusieurs longueurs; 47.036497; 6.286826
Falaise Terre Sacrée; France ; Corse ;  ; Ajaccio; 10 - 20m; 25; Printemps, Automne, Hiver; 4a 7c; Facile | 10min; Sud; 10m; 20m; 20m; Couenne; 41.917998; 8.648482
Falaise Tina dalle; France ; Rhone Alpes ; Drome ; Choranche; 15 - 50m; 94; Automne; 4a 8b; Facile | 5min; Sud, Sud-Est; 15m; 50m; 25m; Couenne; 45.080026; 5.371268
Falaise Tour Saint-Martin; France ; Rhone Alpes ; Ardèche ; Viviers; 15 - 50m; 20; Printemps, Automne; 4a 7a; Modérée | 5min; Sud; 15m; 50m; 25m; Couenne, Voie de plusieurs longueurs; 44.481894; 4.663707
Falaise Trassouet; France ; Midi Pyrénées ; Hautes Pyrénées ; Sainte-Marie-de-Campan; 15 - 40m; 100; Printemps, Automne; 4b 8b; Facile | 5min; Sud-Ouest; 15m; 40m; 25m; Couenne; 42.991692; 0.228213
Falaise trou des fées; France ; Provence Alpes Cote d'Azur ; Var ; Cabasse; 30 - 45m; 5; Printemps, Été, Automne; 4b 5c; Facile | 5min; Sud-Ouest; 30m; 45m; 37m; Bloc; 43.442120; 6.223610
Falaise Troubat; France ; Midi Pyrénées ; Hautes Pyrénées ; Troubat; 10 - 80m; 100; Printemps, Automne; 5b 8b; Facile | 10min; Sud-Ouest, Ouest; 10m; 80m; 30m; Couenne; 42.975641; 0.586373
Falaise Troubat (La Carrière); France ; Midi Pyrénées ; Hautes Pyrénées ; Troubat; 10 - 30m; 50; Printemps, Automne, Hiver; 4b 7b; Facile | 5min; Sud-Ouest; 10m; 30m; 20m; Couenne; 42.972458; 0.588358
Falaise Ubrieux Lou Passo; France ; Rhone Alpes ; Drome ; BUIS LES BARONNIES; 10 - 70m; 250; Printemps, Automne, Hiver; 4a 8c; Facile | 5min; Sud, Sud-Est, Sud-Ouest, Est; 10m; 70m; 30m; Couenne, Voie de plusieurs longueurs; 44.293261; 5.280558
Falaise Valbelle; France ; Provence Alpes Cote d'Azur ; Alpes de haute Provence ; valbelle; 20 - 100m; 60; Printemps, Été, Automne; 5c 8b; Raide | 45min; Nord-Ouest; 20m; 100m; 30m; Couenne; 44.137919; 5.850624
Falaise Valcroissant; France ; Rhone Alpes ; Isère ; Die; 12 - 45m; 30; Printemps, Été, Automne; 4a 7a; Facile | 5min; Est; 12m; 45m; 20m; Couenne; 44.742072; 5.424626
Falaise Vall de Quers; France ; Languedoc Roussillon ; Pyrénées orientales ; Prats-de-Mollo-la-Preste; 25 - 60m; 40; Printemps, Automne; 4c 7c; Facile | 10min; Sud; 25m; 60m; 25m; Couenne; 42.368738; 2.467020
Falaise Ventavon; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Ventavon - Le Villard; 20 - 35m; 100; Printemps, Automne; 5c 8b; Modérée | 50min; Sud; 20m; 35m; 28m; Couenne; 44.402752; 5.914809
Falaise Vergisson; France ; Bourgogne ; Saone et Loire ; Vergisson; 15 - 30m; 100; Printemps, Automne; 4c 8a; Facile | 10min; Sud, Sud-Ouest; 15m; 30m; 25m; Couenne; 46.314257; 4.715752
Falaise Verosvres; France ; Bourgogne ; Saone et Loire ; Beaubery; 2 - 5m; 100; Printemps, Automne; 4b 8a; Facile | 8min; Toutes; 2m; 5m; 4m; Bloc; 46.413681; 4.417498
Falaise Volx; France ; Provence Alpes Cote d'Azur ; Alpes de haute Provence ; Volx; 15 - 25m; 160; Printemps, Automne, Hiver; 4c 8c; Facile | 4min; Sud-Est; 15m; 25m; 20m; Couenne; 43.881729; 5.837294
Falaise Voreppe; France ; Rhone Alpes ; Isère ; Voreppe; 20 - 50m; 48; Printemps, Automne; 6b 8a; Modérée | 25min; Sud; 20m; 50m; 40m; Couenne; 45.316577; 5.639591
Falaise trou des fées; France ; Provence Alpes Cote d'Azur ; Var ; Cabasse; 30 - 45m; 5; Printemps, Été, Automne; 4b 5c; Facile | 5min; Sud-Ouest; 30m; 45m; 37m; Bloc; 43.442120; 6.223610
Falaise Combe de l’ermitage; France ; Provence Alpes Cote d'Azur ; Vaucluse ; Villes-sur-Auzon; 20 - 30m; 83; Printemps, Automne, Hiver; 4c 8a; Facile | 5min; Sud, Sud-Est; 20m; 30m; 25m; Couenne; 44.062182; 5.252294
Falaise La Montagne; La Réunion ;  ;  ; Saint Denis de la Réunion; 8 - 20m; 60; Printemps, Automne, Hiver; 4a 7c; Facile | 10min; Nord, Nord-Est, Est; 8m; 20m; 15m; Couenne; ; - 55.43425
Falaise le Langenfels; France ; Alsace ; Bas Rhin ; hirschthal; 10 - 50m; 101; Été; 5a 8a; Modérée; Sud; 10m; 50m; 30m; Couenne; 49.049148; 7.776131
Falaise La pierre du Quart (pierre de carré); France ; Rhone Alpes ; Savoie ; Chindrieux; 20 - 30m; 70; Printemps, Été, Automne, Hiver; 4c 8b; Modérée | 10min; Nord-Ouest, Sud, Sud-Ouest; 20m; 30m; 25m; Couenne; 45.786143; 5.863550
